,investment title,surrounding sentence,ontology attribute,similar pair,RatcliffObershelp
313,Variable Annuities,it serve as a investment account that may grow on a tax defer basis and include certain insurance feature such as the ability to turn you account into a stream of periodic payment,availability,the ability,0.6086956521739131
314,Variable Annuities,it serve as a investment account that may grow on a tax defer basis and include certain insurance feature such as the ability to turn you account into a stream of periodic payment,availability,ability to,0.6363636363636364
315,Variable Annuities,it serve as a investment account that may grow on a tax defer basis and include certain insurance feature such as the ability to turn you account into a stream of periodic payment,availability,as the ability,0.6153846153846154
316,Variable Annuities,it serve as a investment account that may grow on a tax defer basis and include certain insurance feature such as the ability to turn you account into a stream of periodic payment,expect return,to turn,0.6
317,Variable Annuities,you purchase a variable annuity contract by make either a single purchase payment or a series of purchase payment,availability,variable,0.6
318,Variable Annuities,you purchase a variable annuity contract by make either a single purchase payment or a series of purchase payment,availability,a variable,0.6363636363636364
319,Variable Annuities,you purchase a variable annuity contract by make either a single purchase payment or a series of purchase payment,availability,variable annuity,0.6428571428571429
320,Variable Annuities,you purchase a variable annuity contract by make either a single purchase payment or a series of purchase payment,availability,a variable annuity,0.6666666666666666
321,Variable Annuities,you purchase a variable annuity contract by make either a single purchase payment or a series of purchase payment,risk,series,0.6
322,Variable Annuities,a variable annuity offer a range of investment option,availability,variable,0.6
323,Variable Annuities,a variable annuity offer a range of investment option,availability,a variable,0.6363636363636364
324,Variable Annuities,a variable annuity offer a range of investment option,availability,variable annuity,0.6428571428571429
325,Variable Annuities,a variable annuity offer a range of investment option,availability,a variable annuity,0.6666666666666666
326,Variable Annuities,the investment option for a variable annuity be typically mutual fund that invest in stock bond money market instrument or some combination of the three,availability,variable,0.6
327,Variable Annuities,the investment option for a variable annuity be typically mutual fund that invest in stock bond money market instrument or some combination of the three,availability,a variable,0.6363636363636364
328,Variable Annuities,the investment option for a variable annuity be typically mutual fund that invest in stock bond money market instrument or some combination of the three,availability,variable annuity,0.6428571428571429
329,Variable Annuities,the investment option for a variable annuity be typically mutual fund that invest in stock bond money market instrument or some combination of the three,availability,a variable annuity,0.6666666666666666
330,Variable Annuities,the investment option for a variable annuity be typically mutual fund that invest in stock bond money market instrument or some combination of the three,availability,a variable annuity be,0.6060606060606061
331,Variable Annuities,each variable annuity be unique,availability,variable,0.6
332,Variable Annuities,each variable annuity be unique,availability,variable annuity,0.6428571428571429
333,Variable Annuities,each variable annuity be unique,availability,each variable annuity,0.6060606060606061
334,Variable Annuities,keep in mind that you will pay extra for the feature offer by variable annuity,availability,variable,0.6
335,Variable Annuities,keep in mind that you will pay extra for the feature offer by variable annuity,availability,variable annuity,0.6428571428571429
336,Variable Annuities,first variable annuity have insurance feature,availability,variable,0.6
337,Variable Annuities,first variable annuity have insurance feature,availability,variable annuity,0.6428571428571429
338,Variable Annuities,for instance if you die before the insurance company start make income payment to you many contract guarantee that you beneficiary will receive at least a specify amount,form financing,for instance,0.6923076923076923
339,Variable Annuities,for instance if you die before the insurance company start make income payment to you many contract guarantee that you beneficiary will receive at least a specify amount,form financing,for instance if,0.6896551724137931
340,Variable Annuities,for instance if you die before the insurance company start make income payment to you many contract guarantee that you beneficiary will receive at least a specify amount,form financing,for instance if you,0.6060606060606061
341,Variable Annuities,for instance if you die before the insurance company start make income payment to you many contract guarantee that you beneficiary will receive at least a specify amount,time,income,0.6
342,Variable Annuities,it may also offer additional insurance feature such as promise you a certain account value or the ability to make withdrawal up to a certain amount each year for the rest of you life,availability,ability,0.7368421052631579
343,Variable Annuities,it may also offer additional insurance feature such as promise you a certain account value or the ability to make withdrawal up to a certain amount each year for the rest of you life,availability,the ability,0.6086956521739131
344,Variable Annuities,it may also offer additional insurance feature such as promise you a certain account value or the ability to make withdrawal up to a certain amount each year for the rest of you life,availability,ability to,0.6363636363636364
345,Variable Annuities,it may also offer additional insurance feature such as promise you a certain account value or the ability to make withdrawal up to a certain amount each year for the rest of you life,availability,value or the ability,0.625
346,Variable Annuities,second variable annuity be tax defer,availability,variable,0.6
347,Variable Annuities,second variable annuity be tax defer,availability,variable annuity,0.6428571428571429
348,Variable Annuities,that mean you pay no federal tax on the income and investment gain from you annuity until you make a withdrawal receive income payment or a death benefit be pay,time,income,0.6
349,Variable Annuities,that mean you pay no federal tax on the income and investment gain from you annuity until you make a withdrawal receive income payment or a death benefit be pay,time,income,0.6
350,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,availability,variable,0.6
351,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,availability,a variable,0.6363636363636364
352,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,availability,variable annuity,0.6428571428571429
353,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,availability,a variable annuity,0.6666666666666666
354,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,time,time,1.0
355,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,time,the time,0.6666666666666666
356,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,time,time of,0.7272727272727273
357,Variable Annuities,when you withdraw you money however you will pay tax on the gain at ordinary federal income tax rate rather than lower capital gain rate,time,income,0.6
358,Variable Annuities,in general the benefit of tax deferral may outweigh the cost of a variable annuity only if you hold it as a long term investment,availability,variable,0.6
359,Variable Annuities,in general the benefit of tax deferral may outweigh the cost of a variable annuity only if you hold it as a long term investment,availability,a variable,0.6363636363636364
360,Variable Annuities,in general the benefit of tax deferral may outweigh the cost of a variable annuity only if you hold it as a long term investment,availability,variable annuity,0.6428571428571429
361,Variable Annuities,in general the benefit of tax deferral may outweigh the cost of a variable annuity only if you hold it as a long term investment,availability,a variable annuity,0.6666666666666666
362,Variable Annuities,in general the benefit of tax deferral may outweigh the cost of a variable annuity only if you hold it as a long term investment,availability,of a variable annuity,0.6060606060606061
363,Variable Annuities,third variable annuity let you receive periodic income payment for a specify period or the rest of you life or the life of you spouse,availability,variable,0.6
364,Variable Annuities,third variable annuity let you receive periodic income payment for a specify period or the rest of you life or the life of you spouse,availability,variable annuity,0.6428571428571429
365,Variable Annuities,third variable annuity let you receive periodic income payment for a specify period or the rest of you life or the life of you spouse,time,income,0.6
366,Variable Annuities,this process of turn you investment into a stream of periodic income payment be know as annuitization,time,income,0.6
367,Variable Annuities,this feature offer protection against the possibility that you will outlive you asset,availability,possibility,0.6086956521739131
368,Variable Annuities,the federal tax rule that apply to variable annuity can be complicated,availability,variable,0.6
369,Variable Annuities,the federal tax rule that apply to variable annuity can be complicated,availability,variable annuity,0.6428571428571429
370,Variable Annuities,before invest you may want to consult a tax adviser about the tax consequence of invest in a variable annuity,availability,variable,0.6
371,Variable Annuities,before invest you may want to consult a tax adviser about the tax consequence of invest in a variable annuity,availability,a variable,0.6363636363636364
372,Variable Annuities,before invest you may want to consult a tax adviser about the tax consequence of invest in a variable annuity,availability,variable annuity,0.6428571428571429
373,Variable Annuities,before invest you may want to consult a tax adviser about the tax consequence of invest in a variable annuity,availability,a variable annuity,0.6666666666666666
374,Variable Annuities,before invest you may want to consult a tax adviser about the tax consequence of invest in a variable annuity,availability,in a variable annuity,0.6060606060606061
375,Variable Annuities,for many investor it will be best to max out they contribution to iras and 401 k plan before invest in a variable annuity,availability,variable,0.6
376,Variable Annuities,for many investor it will be best to max out they contribution to iras and 401 k plan before invest in a variable annuity,availability,a variable,0.6363636363636364
377,Variable Annuities,for many investor it will be best to max out they contribution to iras and 401 k plan before invest in a variable annuity,availability,variable annuity,0.6428571428571429
378,Variable Annuities,for many investor it will be best to max out they contribution to iras and 401 k plan before invest in a variable annuity,availability,a variable annuity,0.6666666666666666
379,Variable Annuities,for many investor it will be best to max out they contribution to iras and 401 k plan before invest in a variable annuity,availability,in a variable annuity,0.6060606060606061
380,Variable Annuities,if you be invest in a variable annuity through a tax advantaged retirement plan you will get no additional tax advantage from the variable annuity,availability,variable,0.6
381,Variable Annuities,if you be invest in a variable annuity through a tax advantaged retirement plan you will get no additional tax advantage from the variable annuity,availability,variable,0.6
382,Variable Annuities,if you be invest in a variable annuity through a tax advantaged retirement plan you will get no additional tax advantage from the variable annuity,availability,a variable,0.6363636363636364
383,Variable Annuities,if you be invest in a variable annuity through a tax advantaged retirement plan you will get no additional tax advantage from the variable annuity,availability,variable annuity,0.6428571428571429
384,Variable Annuities,if you be invest in a variable annuity through a tax advantaged retirement plan you will get no additional tax advantage from the variable annuity,availability,variable annuity,0.6428571428571429
385,Variable Annuities,if you be invest in a variable annuity through a tax advantaged retirement plan you will get no additional tax advantage from the variable annuity,availability,a variable annuity,0.6666666666666666
386,Variable Annuities,if you be invest in a variable annuity through a tax advantaged retirement plan you will get no additional tax advantage from the variable annuity,availability,in a variable annuity,0.6060606060606061
387,Variable Annuities,what should I do before I invest in a variable annuity,availability,variable,0.6
388,Variable Annuities,what should I do before I invest in a variable annuity,availability,a variable,0.6363636363636364
389,Variable Annuities,what should I do before I invest in a variable annuity,availability,variable annuity,0.6428571428571429
390,Variable Annuities,what should I do before I invest in a variable annuity,availability,a variable annuity,0.6666666666666666
391,Variable Annuities,what should I do before I invest in a variable annuity,availability,in a variable annuity,0.6060606060606061
392,Variable Annuities,variable annuity could help you meet retirement and other long range goal,availability,variable,0.6
393,Variable Annuities,variable annuity could help you meet retirement and other long range goal,availability,variable annuity,0.6428571428571429
394,Variable Annuities,variable annuity could help you meet retirement and other long range goal,expect return,meet retirement,0.6428571428571429
395,Variable Annuities,variable annuity be not suitable for meet short term goal,availability,variable,0.6
396,Variable Annuities,variable annuity be not suitable for meet short term goal,availability,variable annuity,0.6428571428571429
397,Variable Annuities,variable annuity involve investment risk just like mutual fund do,availability,variable,0.6
398,Variable Annuities,variable annuity involve investment risk just like mutual fund do,availability,variable annuity,0.6428571428571429
399,Variable Annuities,variable annuity involve investment risk just like mutual fund do,risk,risk,1.0
400,Variable Annuities,variable annuity involve investment risk just like mutual fund do,risk,risk just,0.6153846153846154
401,Variable Annuities,if the investment choice you select for the variable annuity perform poorly you could lose money,availability,variable,0.6
402,Variable Annuities,if the investment choice you select for the variable annuity perform poorly you could lose money,availability,variable annuity,0.6428571428571429
403,Variable Annuities,contract fee may go towards you financial professional 's compensation,form financing,financial,0.6086956521739131
404,Variable Annuities,contract fee may go towards you financial professional 's compensation,form financing,you financial,0.6666666666666666
405,Variable Annuities,how variable annuity work,availability,variable,0.6
406,Variable Annuities,how variable annuity work,availability,variable annuity,0.6428571428571429
407,Variable Annuities,a variable annuity have two phase a accumulation phase and a payout annuitization phase,availability,variable,0.6
408,Variable Annuities,a variable annuity have two phase a accumulation phase and a payout annuitization phase,availability,a variable,0.6363636363636364
409,Variable Annuities,a variable annuity have two phase a accumulation phase and a payout annuitization phase,availability,variable annuity,0.6428571428571429
410,Variable Annuities,a variable annuity have two phase a accumulation phase and a payout annuitization phase,availability,a variable annuity,0.6666666666666666
411,Variable Annuities,"you purchase a variable annuity with a initial purchase payment of $ 100,000",availability,variable,0.6
412,Variable Annuities,"you purchase a variable annuity with a initial purchase payment of $ 100,000",availability,a variable,0.6363636363636364
413,Variable Annuities,"you purchase a variable annuity with a initial purchase payment of $ 100,000",availability,variable annuity,0.6428571428571429
414,Variable Annuities,"you purchase a variable annuity with a initial purchase payment of $ 100,000",availability,a variable annuity,0.6666666666666666
415,Variable Annuities,over the follow year the stock fund have a 10 % return and the bond fund have a 5 % return,expect return,return,0.631578947368421
416,Variable Annuities,over the follow year the stock fund have a 10 % return and the bond fund have a 5 % return,expect return,return,0.631578947368421
417,Variable Annuities,over the follow year the stock fund have a 10 % return and the bond fund have a 5 % return,expect return,% return,0.6666666666666666
418,Variable Annuities,over the follow year the stock fund have a 10 % return and the bond fund have a 5 % return,expect return,% return,0.6666666666666666
419,Variable Annuities,over the follow year the stock fund have a 10 % return and the bond fund have a 5 % return,expect return,5 % return,0.6086956521739131
420,Variable Annuities,you most important source of information about a variable annuity 's mutual fund investment option be the fund 's prospectuse,availability,variable,0.6
421,Variable Annuities,you most important source of information about a variable annuity 's mutual fund investment option be the fund 's prospectuse,availability,a variable,0.6363636363636364
422,Variable Annuities,you most important source of information about a variable annuity 's mutual fund investment option be the fund 's prospectuse,availability,variable annuity,0.6428571428571429
423,Variable Annuities,you most important source of information about a variable annuity 's mutual fund investment option be the fund 's prospectuse,availability,a variable annuity,0.6666666666666666
424,Variable Annuities,you most important source of information about a variable annuity 's mutual fund investment option be the fund 's prospectuse,availability,a variable annuity 's,0.6060606060606061
425,Variable Annuities,they be available without charge from you financial professional,availability,available,0.7619047619047619
426,Variable Annuities,they be available without charge from you financial professional,availability,be available,0.6666666666666666
427,Variable Annuities,they be available without charge from you financial professional,availability,available without,0.6896551724137931
428,Variable Annuities,they be available without charge from you financial professional,availability,be available without,0.625
429,Variable Annuities,they be available without charge from you financial professional,form financing,financial,0.6086956521739131
430,Variable Annuities,they be available without charge from you financial professional,form financing,you financial,0.6666666666666666
431,Variable Annuities,they be available without charge from you financial professional,form financing,from you financial,0.6875
432,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,availability,volatility,0.7272727272727273
433,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,availability,and volatility,0.6923076923076923
434,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,availability,volatility of,0.64
435,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,availability,and volatility of,0.6206896551724138
436,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,expect return,respect to,0.6086956521739131
437,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,risk,risk,1.0
438,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,risk,the risk,0.6666666666666666
439,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,risk,risk and,0.6666666666666666
440,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,diversification,0.75
441,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,the diversification,0.7727272727272727
442,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,diversification of,0.6976744186046512
443,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,to the diversification,0.7659574468085106
444,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,the diversification of,0.723404255319149
445,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,diversification of you,0.6382978723404256
446,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,contribute to the diversification,0.6896551724137931
447,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,to the diversification of,0.72
448,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,the diversification of you,0.6666666666666666
449,Variable Annuities,during the accumulation phase you can typically transfer you money from one investment option to another without pay federal tax on you investment income and gain,time,income,0.6
450,Variable Annuities,also during the accumulation phase you may choose to withdraw all or a portion of you purchase payment plus investment income and gain if any as a lump sum payment,time,income,0.6
451,Variable Annuities,if you do you may choose to receive you contract value as a stream of income payment at regular interval such as monthly,time,income,0.6
452,Variable Annuities,under most annuity contract you can choose to have you income payment last for a period that you set such as 20 year or for a indefinite period such as you lifetime or the lifetime of you spouse,time,income,0.6
453,Variable Annuities,under most annuity contract you can choose to have you income payment last for a period that you set such as 20 year or for a indefinite period such as you lifetime or the lifetime of you spouse,time,lifetime,0.6666666666666666
454,Variable Annuities,under most annuity contract you can choose to have you income payment last for a period that you set such as 20 year or for a indefinite period such as you lifetime or the lifetime of you spouse,time,lifetime,0.6666666666666666
455,Variable Annuities,you may be able to choose between receive income payment that be fix in amount or payment that vary base on the performance of mutual fund investment option,time,income,0.6
456,Variable Annuities,the amount of each periodic income payment will depend in part on the time period that you select for receive payment,time,income,0.6
457,Variable Annuities,the amount of each periodic income payment will depend in part on the time period that you select for receive payment,time,time,1.0
458,Variable Annuities,the amount of each periodic income payment will depend in part on the time period that you select for receive payment,time,the time,0.6666666666666666
459,Variable Annuities,be aware that in general annuity do not allow you to withdraw money from you account once you have start receive income payment,time,income,0.6
460,Variable Annuities,this mean that there be no accumulation phase and you will start receive income payment shortly after you purchase the annuity,time,income,0.6
461,Variable Annuities,this mean that there be no accumulation phase and you will start receive income payment shortly after you purchase the annuity,time,this mean,0.6153846153846154
462,Variable Annuities,key risk of you variable annuity contract the death benefit and other optional insurance feature,availability,variable,0.6
463,Variable Annuities,key risk of you variable annuity contract the death benefit and other optional insurance feature,availability,variable annuity,0.6428571428571429
464,Variable Annuities,key risk of you variable annuity contract the death benefit and other optional insurance feature,risk,risk,1.0
465,Variable Annuities,key risk of you variable annuity contract the death benefit and other optional insurance feature,risk,key risk,0.6666666666666666
466,Variable Annuities,key risk of you variable annuity contract the death benefit and other optional insurance feature,risk,risk of,0.7272727272727273
467,Variable Annuities,a common feature of variable annuity during the accumulation phase be the death benefit,availability,variable,0.6
468,Variable Annuities,a common feature of variable annuity during the accumulation phase be the death benefit,availability,variable annuity,0.6428571428571429
469,Variable Annuities,you own a variable annuity that offer a death benefit equal to the greater of account value or total purchase payment minus withdrawal,availability,variable,0.6
470,Variable Annuities,you own a variable annuity that offer a death benefit equal to the greater of account value or total purchase payment minus withdrawal,availability,a variable,0.6363636363636364
471,Variable Annuities,you own a variable annuity that offer a death benefit equal to the greater of account value or total purchase payment minus withdrawal,availability,variable annuity,0.6428571428571429
472,Variable Annuities,you own a variable annuity that offer a death benefit equal to the greater of account value or total purchase payment minus withdrawal,availability,a variable annuity,0.6666666666666666
473,Variable Annuities,some variable annuity allow you to choose optional death benefit for a additional charge,availability,variable,0.6
474,Variable Annuities,some variable annuity allow you to choose optional death benefit for a additional charge,availability,variable annuity,0.6428571428571429
475,Variable Annuities,for example variable annuity commonly offer other optional insurance feature which also have extra fee,availability,variable,0.6
476,Variable Annuities,for example variable annuity commonly offer other optional insurance feature which also have extra fee,availability,variable annuity,0.6428571428571429
477,Variable Annuities,many of these optional feature be available only during the accumulation phase of the contract,availability,available,0.7619047619047619
478,Variable Annuities,many of these optional feature be available only during the accumulation phase of the contract,availability,be available,0.6666666666666666
479,Variable Annuities,many of these optional feature be available only during the accumulation phase of the contract,availability,available only,0.6923076923076923
480,Variable Annuities,many of these optional feature be available only during the accumulation phase of the contract,availability,be available only,0.6206896551724138
481,Variable Annuities,in addition these optional feature be complex and may carry certain risk and limitation,risk,risk,1.0
482,Variable Annuities,in addition these optional feature be complex and may carry certain risk and limitation,risk,risk and,0.6666666666666666
483,Variable Annuities,this can limit the return on you investment,expect return,return,0.631578947368421
484,Variable Annuities,this can limit the return on you investment,expect return,the return,0.6956521739130435
485,Variable Annuities,this can limit the return on you investment,expect return,the return on,0.6153846153846154
486,Variable Annuities,this can limit the return on you investment,factor affect return,the return,0.6
487,Variable Annuities,variable annuity fee and expense,availability,variable,0.6
488,Variable Annuities,variable annuity fee and expense,availability,variable annuity,0.6428571428571429
489,Variable Annuities,you will pay several fee and expense when you invest in a variable annuity,availability,variable,0.6
490,Variable Annuities,you will pay several fee and expense when you invest in a variable annuity,availability,a variable,0.6363636363636364
491,Variable Annuities,you will pay several fee and expense when you invest in a variable annuity,availability,variable annuity,0.6428571428571429
492,Variable Annuities,you will pay several fee and expense when you invest in a variable annuity,availability,a variable annuity,0.6666666666666666
493,Variable Annuities,you will pay several fee and expense when you invest in a variable annuity,availability,in a variable annuity,0.6060606060606061
494,Variable Annuities,these fee and expense will reduce the value of you account and the return on you investment,expect return,return,0.631578947368421
495,Variable Annuities,these fee and expense will reduce the value of you account and the return on you investment,expect return,the return,0.6956521739130435
496,Variable Annuities,these fee and expense will reduce the value of you account and the return on you investment,expect return,and the return,0.5925925925925926
497,Variable Annuities,these fee and expense will reduce the value of you account and the return on you investment,expect return,the return on,0.6153846153846154
498,Variable Annuities,these fee and expense will reduce the value of you account and the return on you investment,factor affect return,the return,0.6
499,Variable Annuities,these fee and expense will reduce the value of you account and the return on you investment,factor affect return,account and the return,0.6190476190476191
500,Variable Annuities,typically after six to eight year or sometimes as long as ten year the surrender charge may no longer apply,time,sometimes,0.6153846153846154
501,Variable Annuities,"you purchase a variable annuity contract with a $ 100,000 purchase payment",availability,variable,0.6
502,Variable Annuities,"you purchase a variable annuity contract with a $ 100,000 purchase payment",availability,a variable,0.6363636363636364
503,Variable Annuities,"you purchase a variable annuity contract with a $ 100,000 purchase payment",availability,variable annuity,0.6428571428571429
504,Variable Annuities,"you purchase a variable annuity contract with a $ 100,000 purchase payment",availability,a variable annuity,0.6666666666666666
505,Variable Annuities,you variable annuity have a M&amp e charge at a annual rate of 1.25 % of account value,availability,variable,0.6
506,Variable Annuities,you variable annuity have a M&amp e charge at a annual rate of 1.25 % of account value,availability,variable annuity,0.6428571428571429
507,Variable Annuities,you variable annuity charge administrative fee at a annual rate of 0.15 % of account value,availability,variable,0.6
508,Variable Annuities,you variable annuity charge administrative fee at a annual rate of 0.15 % of account value,availability,variable annuity,0.6428571428571429
509,Variable Annuities,you should ask you financial professional to explain to you all fee and expense that may apply,form financing,financial,0.6086956521739131
510,Variable Annuities,you should ask you financial professional to explain to you all fee and expense that may apply,form financing,you financial,0.6666666666666666
511,Variable Annuities,you can also find a description of the fee and expense in the prospectus for any variable annuity that you be consider,availability,variable,0.6
512,Variable Annuities,you can also find a description of the fee and expense in the prospectus for any variable annuity that you be consider,availability,variable annuity,0.6428571428571429
513,Variable Annuities,you can also find a description of the fee and expense in the prospectus for any variable annuity that you be consider,availability,any variable annuity,0.625
514,Variable Annuities,remember a variable annuity may offer different share class with different fee and expense include differ m&amp e charge and different surrender charge period,availability,variable,0.6
515,Variable Annuities,remember a variable annuity may offer different share class with different fee and expense include differ m&amp e charge and different surrender charge period,availability,a variable,0.6363636363636364
516,Variable Annuities,remember a variable annuity may offer different share class with different fee and expense include differ m&amp e charge and different surrender charge period,availability,variable annuity,0.6428571428571429
517,Variable Annuities,remember a variable annuity may offer different share class with different fee and expense include differ m&amp e charge and different surrender charge period,availability,a variable annuity,0.6666666666666666
518,Variable Annuities,consider how long you expect to own the variable annuity and you need to access fund when you think of any tradeoff between the length of the surrender charge period and the level of ongoing fee,availability,variable,0.6
519,Variable Annuities,consider how long you expect to own the variable annuity and you need to access fund when you think of any tradeoff between the length of the surrender charge period and the level of ongoing fee,availability,variable annuity,0.6428571428571429
520,Variable Annuities,consider how long you expect to own the variable annuity and you need to access fund when you think of any tradeoff between the length of the surrender charge period and the level of ongoing fee,expect return,expect,0.631578947368421
521,Variable Annuities,consider how long you expect to own the variable annuity and you need to access fund when you think of any tradeoff between the length of the surrender charge period and the level of ongoing fee,expect return,expect to,0.7272727272727273
522,Variable Annuities,consider how long you expect to own the variable annuity and you need to access fund when you think of any tradeoff between the length of the surrender charge period and the level of ongoing fee,expect return,you expect to,0.6153846153846154
523,Variable Annuities,consider how long you expect to own the variable annuity and you need to access fund when you think of any tradeoff between the length of the surrender charge period and the level of ongoing fee,expect return,expect to own,0.6923076923076923
524,Variable Annuities,consider how long you expect to own the variable annuity and you need to access fund when you think of any tradeoff between the length of the surrender charge period and the level of ongoing fee,expect return,you expect to own,0.6
525,Variable Annuities,contract fee may go towards you financial professional 's compensation,form financing,financial,0.6086956521739131
526,Variable Annuities,contract fee may go towards you financial professional 's compensation,form financing,you financial,0.6666666666666666
527,Variable Annuities,that mean they may receive higher compensation for sell some contract and for different share class of the same contract than for other,factor affect return,for different,0.6060606060606061
528,Variable Annuities,exchange one variable annuity for another,availability,variable,0.6
529,Variable Annuities,exchange one variable annuity for another,availability,variable annuity,0.6428571428571429
530,Variable Annuities,in some case you may wish to exchange a exist variable annuity contract for a new annuity contract that have feature that you prefer,availability,variable,0.6
531,Variable Annuities,in some case you may wish to exchange a exist variable annuity contract for a new annuity contract that have feature that you prefer,availability,variable annuity,0.6428571428571429
532,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,availability,variable,0.6
533,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,availability,variable,0.6
534,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,availability,variable annuity,0.6428571428571429
535,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,availability,variable annuity,0.6428571428571429
536,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,risk,risk,1.0
537,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,risk,and risk,0.6666666666666666
538,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,risk,risk of,0.7272727272727273
539,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,portfolio diversification,period investment restriction,0.5925925925925926
540,Variable Annuities,if you decide to do a exchange talk to you financial professional or tax adviser to make sure the exchange will be tax free,form financing,financial,0.6086956521739131
541,Variable Annuities,if you decide to do a exchange talk to you financial professional or tax adviser to make sure the exchange will be tax free,form financing,you financial,0.6666666666666666
542,Variable Annuities,if you decide to do a exchange talk to you financial professional or tax adviser to make sure the exchange will be tax free,form financing,to you financial,0.6
543,Variable Annuities,consider the financial motivation you financial professional may have to recommend that you exchange one contract for another,form financing,financial,0.6086956521739131
