,investment title,surrounding sentence,ontology attribute,similar pair,cosine
247,Variable Life Insurance,mortality and expense M&amp e risk fee,risk,risk fee,0.5
248,Variable Life Insurance,they help cover the risk the insurance company assume with respect to the policy,risk,risk,1.0
249,Variable Life Insurance,they help cover the risk the insurance company assume with respect to the policy,risk,the risk,0.5
250,Variable Life Insurance,they help cover the risk the insurance company assume with respect to the policy,risk,risk the,0.5
251,Variable Life Insurance,risk might include that the policy owner may die sooner than expect that administrative and sale cost be higher than expect and that policy owner behavior do not match the insurance company 's expectation,expect return,expect,0.5
252,Variable Life Insurance,risk might include that the policy owner may die sooner than expect that administrative and sale cost be higher than expect and that policy owner behavior do not match the insurance company 's expectation,expect return,expect,0.5
253,Variable Life Insurance,risk might include that the policy owner may die sooner than expect that administrative and sale cost be higher than expect and that policy owner behavior do not match the insurance company 's expectation,risk,risk,1.0
254,Variable Life Insurance,risk might include that the policy owner may die sooner than expect that administrative and sale cost be higher than expect and that policy owner behavior do not match the insurance company 's expectation,risk,risk might,0.5
255,Variable Life Insurance,these charge may be more significant if you present a greater risk to the insurance company that be if you be more likely to die sooner,risk,risk,1.0
256,Variable Life Insurance,these charge may be more significant if you present a greater risk to the insurance company that be if you be more likely to die sooner,risk,greater risk,0.5
257,Variable Life Insurance,these charge may be more significant if you present a greater risk to the insurance company that be if you be more likely to die sooner,risk,risk to,0.5
258,Variable Life Insurance,additional information mutual fund and etf a guide for investor investor bulletin performance claim update investor bulletin how fee and expense affect you investment portfolio investor bulletin how to check out you Financial professional how to contact the SEC with question or complaint office of investor education and advocacy U.S. security and Exchange commission email help@sec.gov,portfolio diversification,portfolio,0.5
259,International Investing,two of the chief reason why people invest in international investment and investment with international exposure be diversification,portfolio diversification,diversification,0.5
260,International Investing,international investing may help U.S. investor to spread they investment risk among foreign company and market in addition to U.S. company and market,risk,risk,1.0
261,International Investing,international investing may help U.S. investor to spread they investment risk among foreign company and market in addition to U.S. company and market,risk,investment risk,0.5
262,International Investing,international investing may help U.S. investor to spread they investment risk among foreign company and market in addition to U.S. company and market,risk,risk among,0.5
263,International Investing,but there be special risk of international investing include,risk,risk,1.0
264,International Investing,but there be special risk of international investing include,risk,special risk,0.5
265,International Investing,but there be special risk of international investing include,risk,risk of,0.5
266,International Investing,if investor be work with a broker or investment adviser they should make sure the investment professional be register with the SEC or for some investment adviser with the appropriate state regulatory entity,regulatory environment,regulatory,0.5
267,International Investing,when the exchange rate between the U.S. dollar and the currency of a international investment change it can increase or reduce you investment return,expect return,return,0.5
268,International Investing,mutual fund may provide more diversification than most investor could achieve on they own and they be subject to U.S. regulation protect investor,portfolio diversification,diversification,0.5
269,Alternative Mutual Funds,investor consider alt fund should be aware of they unique characteristic and risk,risk,risk,1.0
270,Alternative Mutual Funds,investor consider alt fund should be aware of they unique characteristic and risk,risk,and risk,0.5
271,Alternative Mutual Funds,many alt fund try to minimize swing in the value of they investment and reduce risk by spread they investment among different asset type and or use complex trading strategy,risk,risk,1.0
272,Alternative Mutual Funds,many alt fund try to minimize swing in the value of they investment and reduce risk by spread they investment among different asset type and or use complex trading strategy,risk,reduce risk,0.5
273,Alternative Mutual Funds,many alt fund try to minimize swing in the value of they investment and reduce risk by spread they investment among different asset type and or use complex trading strategy,risk,risk by,0.5
274,Alternative Mutual Funds,some alt fund seek to generate above market return relative to other mutual fund that have a similar benchmark,expect return,return,0.5
275,Alternative Mutual Funds,these investment can sometimes offer greater diversification or different return than more traditional investment such as stock bond and cash,expect return,return,0.5
276,Alternative Mutual Funds,these investment can sometimes offer greater diversification or different return than more traditional investment such as stock bond and cash,portfolio diversification,diversification,0.5
277,Alternative Mutual Funds,for example alt fund may sell stock short use derivative or follow absolute return or market neutral strategy that seek positive return even when the stock market fall,expect return,return,0.5
278,Alternative Mutual Funds,for example alt fund may sell stock short use derivative or follow absolute return or market neutral strategy that seek positive return even when the stock market fall,expect return,return,0.5
279,Alternative Mutual Funds,however these strategy may result in higher cost and additional risk than traditionally manage fund,risk,risk,1.0
280,Alternative Mutual Funds,however these strategy may result in higher cost and additional risk than traditionally manage fund,risk,additional risk,0.5
281,Alternative Mutual Funds,however these strategy may result in higher cost and additional risk than traditionally manage fund,risk,risk than,0.5
282,Alternative Mutual Funds,these protection include limit on illiquid investment restriction on borrowing and debt and the requirement to allow investor to sell they share at any time,time,time,1.0
283,Alternative Mutual Funds,these protection include limit on illiquid investment restriction on borrowing and debt and the requirement to allow investor to sell they share at any time,time,any time,0.5
284,Alternative Mutual Funds,hedge fund be not require to follow these regulation and therefore may pursue non-traditional strategy and investment without the same regulatory safeguard,regulatory environment,regulatory,0.5
285,Alternative Mutual Funds,this be design to limit investor in hedge fund to those who be financially sophisticated and generally can bear the risk of invest in fund that be not subject to the regulatory safeguard,regulatory environment,regulatory,0.5
286,Alternative Mutual Funds,this be design to limit investor in hedge fund to those who be financially sophisticated and generally can bear the risk of invest in fund that be not subject to the regulatory safeguard,risk,risk,1.0
287,Alternative Mutual Funds,this be design to limit investor in hedge fund to those who be financially sophisticated and generally can bear the risk of invest in fund that be not subject to the regulatory safeguard,risk,the risk,0.5
288,Alternative Mutual Funds,this be design to limit investor in hedge fund to those who be financially sophisticated and generally can bear the risk of invest in fund that be not subject to the regulatory safeguard,risk,risk of,0.5
289,Alternative Mutual Funds,alt fund have unique characteristic and risk,risk,risk,1.0
290,Alternative Mutual Funds,alt fund have unique characteristic and risk,risk,and risk,0.5
291,Alternative Mutual Funds,it be important that you understand these characteristic and risk to make sure the investment be a good fit for you,risk,risk,1.0
292,Alternative Mutual Funds,it be important that you understand these characteristic and risk to make sure the investment be a good fit for you,risk,and risk,0.5
293,Alternative Mutual Funds,it be important that you understand these characteristic and risk to make sure the investment be a good fit for you,risk,risk to,0.5
294,Alternative Mutual Funds,other might be design to provide diversification through exposure to commodity foreign currency and other alternative investment,portfolio diversification,diversification,0.5
295,Alternative Mutual Funds,Strategy risk factor,risk,risk,1.0
296,Alternative Mutual Funds,Strategy risk factor,risk,Strategy risk,0.5
297,Alternative Mutual Funds,Strategy risk factor,risk,risk factor,0.5
298,Alternative Mutual Funds,in addition to the usual market and investment risk associate with traditional mutual fund alt fund may face additional risk to the extent they use relatively complex investment and trading strategy,risk,risk,1.0
299,Alternative Mutual Funds,in addition to the usual market and investment risk associate with traditional mutual fund alt fund may face additional risk to the extent they use relatively complex investment and trading strategy,risk,risk,1.0
300,Alternative Mutual Funds,in addition to the usual market and investment risk associate with traditional mutual fund alt fund may face additional risk to the extent they use relatively complex investment and trading strategy,risk,investment risk,0.5
301,Alternative Mutual Funds,in addition to the usual market and investment risk associate with traditional mutual fund alt fund may face additional risk to the extent they use relatively complex investment and trading strategy,risk,risk associate,0.5
302,Alternative Mutual Funds,in addition to the usual market and investment risk associate with traditional mutual fund alt fund may face additional risk to the extent they use relatively complex investment and trading strategy,risk,additional risk,0.5
303,Alternative Mutual Funds,in addition to the usual market and investment risk associate with traditional mutual fund alt fund may face additional risk to the extent they use relatively complex investment and trading strategy,risk,risk to,0.5
304,Alternative Mutual Funds,depend on the strategy be use these potential risk can include use of derivative and leverage future contract short sell and swap,risk,risk,1.0
305,Alternative Mutual Funds,depend on the strategy be use these potential risk can include use of derivative and leverage future contract short sell and swap,risk,potential risk,0.5
306,Alternative Mutual Funds,depend on the strategy be use these potential risk can include use of derivative and leverage future contract short sell and swap,risk,risk can,0.5
307,Alternative Mutual Funds,how to read a mutual fund prospectus part 1 of 3 investment objective strategy and risk part 2 of 3 fee table and performance and part 3 of 3 management shareholder information and statement of additional information,risk,risk,1.0
308,Alternative Mutual Funds,how to read a mutual fund prospectus part 1 of 3 investment objective strategy and risk part 2 of 3 fee table and performance and part 3 of 3 management shareholder information and statement of additional information,risk,and risk,0.5
309,Alternative Mutual Funds,how to read a mutual fund prospectus part 1 of 3 investment objective strategy and risk part 2 of 3 fee table and performance and part 3 of 3 management shareholder information and statement of additional information,risk,risk part,0.5
310,Leveraged Loan Funds,investor who own or be consider buy a fund that invest in leverage loan should understand the fund 's unique credit and liquidity risk,risk,risk,1.0
311,Leveraged Loan Funds,investor who own or be consider buy a fund that invest in leverage loan should understand the fund 's unique credit and liquidity risk,risk,liquidity risk,0.5
312,Leveraged Loan Funds,lender consider leverage loan to have a above average risk that the borrower will be unable to pay back the loan also know as the risk of default,risk,risk,1.0
313,Leveraged Loan Funds,lender consider leverage loan to have a above average risk that the borrower will be unable to pay back the loan also know as the risk of default,risk,risk,1.0
314,Leveraged Loan Funds,lender consider leverage loan to have a above average risk that the borrower will be unable to pay back the loan also know as the risk of default,risk,average risk,0.5
315,Leveraged Loan Funds,lender consider leverage loan to have a above average risk that the borrower will be unable to pay back the loan also know as the risk of default,risk,risk that,0.5
316,Leveraged Loan Funds,lender consider leverage loan to have a above average risk that the borrower will be unable to pay back the loan also know as the risk of default,risk,the risk,0.5
317,Leveraged Loan Funds,lender consider leverage loan to have a above average risk that the borrower will be unable to pay back the loan also know as the risk of default,risk,risk of,0.5
318,Leveraged Loan Funds,these loan generally pay higher interest rate to lender because of the higher level of risk,risk,risk,1.0
319,Leveraged Loan Funds,these loan generally pay higher interest rate to lender because of the higher level of risk,risk,of risk,0.5
320,Leveraged Loan Funds,some fund may make a small investment in leverage loan as part of a diverse portfolio while other fund may invest heavily in these loan,portfolio diversification,portfolio,0.5
321,Leveraged Loan Funds,fund portfolio manager may be interested in purchase these loan because they higher interest rate could mean a higher return for investor in the fund,expect return,return,0.5
322,Leveraged Loan Funds,fund portfolio manager may be interested in purchase these loan because they higher interest rate could mean a higher return for investor in the fund,portfolio diversification,portfolio,0.5
323,Leveraged Loan Funds,what be some risk of invest in fund that invest in leverage loan,risk,risk,1.0
324,Leveraged Loan Funds,what be some risk of invest in fund that invest in leverage loan,risk,some risk,0.5
325,Leveraged Loan Funds,what be some risk of invest in fund that invest in leverage loan,risk,risk of,0.5
326,Leveraged Loan Funds,like every investment leverage loan involve a trade off between reward and risk,risk,risk,1.0
327,Leveraged Loan Funds,like every investment leverage loan involve a trade off between reward and risk,risk,and risk,0.5
328,Leveraged Loan Funds,risk include,risk,risk,1.0
329,Leveraged Loan Funds,risk include,risk,risk include,0.5
330,Leveraged Loan Funds,this risk could be heighten if interest rate rise or the economy decline,risk,risk,1.0
331,Leveraged Loan Funds,this risk could be heighten if interest rate rise or the economy decline,risk,this risk,0.5
332,Leveraged Loan Funds,this risk could be heighten if interest rate rise or the economy decline,risk,risk could,0.5
333,Leveraged Loan Funds,in addition leverage loan typically have a long settlement period mean it could take the fund a long time to get its money after sell its investment,time,time,1.0
334,Leveraged Loan Funds,in addition leverage loan typically have a long settlement period mean it could take the fund a long time to get its money after sell its investment,time,long time,0.5
335,Leveraged Loan Funds,in addition leverage loan typically have a long settlement period mean it could take the fund a long time to get its money after sell its investment,time,time to,0.5
336,Leveraged Loan Funds,LIBOR be expect to be discontinue after 2021,expect return,expect,0.5
337,Leveraged Loan Funds,what specific risk and benefit be associate with this fund,risk,risk,1.0
338,Leveraged Loan Funds,what specific risk and benefit be associate with this fund,risk,specific risk,0.5
339,Leveraged Loan Funds,what specific risk and benefit be associate with this fund,risk,risk and,0.5
340,Leveraged Loan Funds,additional information assess you risk tolerance asset allocation mutual fund and etf a guide for investor,risk,risk,1.0
341,Leveraged Loan Funds,additional information assess you risk tolerance asset allocation mutual fund and etf a guide for investor,risk,you risk,0.5
342,Leveraged Loan Funds,additional information assess you risk tolerance asset allocation mutual fund and etf a guide for investor,risk,risk tolerance,0.5
343,Exchange-Traded Funds (ETFs),like mutual fund etf offer investor a way to pool they money in a fund that make investment in stock bond or other asset and in return to receive a interest in that investment pool,expect return,return,0.5
344,Exchange-Traded Funds (ETFs),instead they seek to achieve a state investment objective by invest in a portfolio of stock bond and other asset,portfolio diversification,portfolio,0.5
345,Exchange-Traded Funds (ETFs),unlike with a index base ETF a adviser of a actively manage etf may actively buy or sell component in the portfolio on a daily basis without regard to conformity with a index,portfolio diversification,portfolio,0.5
346,Exchange-Traded Funds (ETFs),before invest in a etf you should read both its summary prospectus and its full prospectus which provide detailed information on the etf 's investment objective principal investment strategy risk cost and historical performance if any,risk,risk,1.0
347,Exchange-Traded Funds (ETFs),before invest in a etf you should read both its summary prospectus and its full prospectus which provide detailed information on the etf 's investment objective principal investment strategy risk cost and historical performance if any,risk,strategy risk,0.5
348,Exchange-Traded Funds (ETFs),before invest in a etf you should read both its summary prospectus and its full prospectus which provide detailed information on the etf 's investment objective principal investment strategy risk cost and historical performance if any,risk,risk cost,0.5
349,Exchange-Traded Funds (ETFs),if you do be sure to work with someone who understand you investment objective and tolerance for risk,risk,risk,1.0
350,Exchange-Traded Funds (ETFs),if you do be sure to work with someone who understand you investment objective and tolerance for risk,risk,for risk,0.5
351,Index Funds,a index fund be a type of mutual fund or exchange trade fund that seek to track the return of a market index,expect return,return,0.5
352,Index Funds,the total value be equal to the share price time the number of share outstanding,time,time,1.0
353,Index Funds,the total value be equal to the share price time the number of share outstanding,time,price time,0.5
354,Index Funds,the total value be equal to the share price time the number of share outstanding,time,time the,0.5
355,Index Funds,this mean they aim to maximize return over the long run by not buy and sell security very often,expect return,return,0.5
356,Index Funds,fee and expense reduce the value of you investment return,expect return,return,0.5
357,Index Funds,if the holding of two fund have identical performance the fund with the lower cost generally will generate higher return for you,expect return,return,0.5
358,Index Funds,for more information see we update investor bulletin how fee and expense affect you investment portfolio,portfolio diversification,portfolio,0.5
359,Index Funds,what be some risk of index fund,risk,risk,1.0
360,Index Funds,what be some risk of index fund,risk,some risk,0.5
361,Index Funds,what be some risk of index fund,risk,risk of,0.5
362,Index Funds,like any investment index fund involve risk,risk,risk,1.0
363,Index Funds,like any investment index fund involve risk,risk,involve risk,0.5
364,Index Funds,a index fund will be subject to the same general risk as the security in the index it track,risk,risk,1.0
365,Index Funds,a index fund will be subject to the same general risk as the security in the index it track,risk,general risk,0.5
366,Index Funds,a index fund will be subject to the same general risk as the security in the index it track,risk,risk as,0.5
367,Index Funds,the fund may also be subject to certain other risk such as lack of flexibility,risk,risk,1.0
368,Index Funds,the fund may also be subject to certain other risk such as lack of flexibility,risk,other risk,0.5
369,Index Funds,the fund may also be subject to certain other risk such as lack of flexibility,risk,risk such,0.5
370,Index Funds,in addition fund disclose they portfolio holding quarterly in form N q and shareholder report,form financing,form,0.5
371,Index Funds,in addition fund disclose they portfolio holding quarterly in form N q and shareholder report,portfolio diversification,portfolio,0.5
372,Index Funds,what fee and expense can I expect to pay for buy own and sell this fund,expect return,expect,0.5
373,Index Funds,what specific risk be associate with this fund,risk,risk,1.0
374,Index Funds,what specific risk be associate with this fund,risk,specific risk,0.5
375,Index Funds,what specific risk be associate with this fund,risk,risk be,0.5
376,Money Market Funds,money market fund be a type of mutual fund develop in the 1970 as a option for investor to purchase a pool of security that generally provide higher return than interest bear bank account,expect return,return,0.5
377,Money Market Funds,in response to the 2007 2008 financial crisis the commission adopt a series of amendment to its rule on money market fund in 2010 that be design to make money market fund more resilient by reduce the interest rate credit and liquidity risk of they portfolios,risk,risk,1.0
378,Money Market Funds,in response to the 2007 2008 financial crisis the commission adopt a series of amendment to its rule on money market fund in 2010 that be design to make money market fund more resilient by reduce the interest rate credit and liquidity risk of they portfolios,risk,liquidity risk,0.5
379,Money Market Funds,in response to the 2007 2008 financial crisis the commission adopt a series of amendment to its rule on money market fund in 2010 that be design to make money market fund more resilient by reduce the interest rate credit and liquidity risk of they portfolios,risk,risk of,0.5
380,Money Market Funds,although these reform improve money market fund resiliency the commission say at the time that it would continue to consider whether further more fundamental change to money market fund regulation might be warrant,time,time,1.0
381,Money Market Funds,although these reform improve money market fund resiliency the commission say at the time that it would continue to consider whether further more fundamental change to money market fund regulation might be warrant,time,the time,0.5
382,Money Market Funds,although these reform improve money market fund resiliency the commission say at the time that it would continue to consider whether further more fundamental change to money market fund regulation might be warrant,time,time that,0.5
383,Money Market Funds,the 2014 rule also include additional diversification and disclosure measure,portfolio diversification,diversification,0.5
384,Money Market Funds,on the money market fund spotlight page you can find link to material relate to SEC regulatory initiative concern money market fund analysis research and other resource from the SEC,regulatory environment,regulatory,0.5
385,Mutual Funds,the combine holding of the mutual fund be know as its portfolio,portfolio diversification,portfolio,0.5
386,Mutual Funds,what be the benefit and risk of mutual fund,risk,risk,1.0
387,Mutual Funds,what be the benefit and risk of mutual fund,risk,and risk,0.5
388,Mutual Funds,what be the benefit and risk of mutual fund,risk,risk of,0.5
389,Mutual Funds,diversification or do not put all you egg in one basket,portfolio diversification,diversification,0.5
390,Mutual Funds,this help to lower you risk if one company fail,risk,risk,1.0
391,Mutual Funds,this help to lower you risk if one company fail,risk,you risk,0.5
392,Mutual Funds,this help to lower you risk if one company fail,risk,risk if,0.5
393,Mutual Funds,mutual fund investor can easily redeem they share at any time for the current net asset value nav plus any redemption fee,time,time,1.0
394,Mutual Funds,mutual fund investor can easily redeem they share at any time for the current net asset value nav plus any redemption fee,time,any time,0.5
395,Mutual Funds,mutual fund investor can easily redeem they share at any time for the current net asset value nav plus any redemption fee,time,time for,0.5
396,Mutual Funds,each type have different feature risk and reward,risk,risk,1.0
397,Mutual Funds,each type have different feature risk and reward,risk,feature risk,0.5
398,Mutual Funds,each type have different feature risk and reward,risk,risk and,0.5
399,Mutual Funds,money market fund have relatively low risk,risk,risk,1.0
400,Mutual Funds,money market fund have relatively low risk,risk,low risk,0.5
401,Mutual Funds,bond fund have higher risk than money market fund because they typically aim to produce higher return,expect return,return,0.5
402,Mutual Funds,bond fund have higher risk than money market fund because they typically aim to produce higher return,risk,risk,1.0
403,Mutual Funds,bond fund have higher risk than money market fund because they typically aim to produce higher return,risk,higher risk,0.5
404,Mutual Funds,bond fund have higher risk than money market fund because they typically aim to produce higher return,risk,risk than,0.5
405,Mutual Funds,because there be many different type of bond the risk and reward of bond fund can vary dramatically,risk,risk,1.0
406,Mutual Funds,because there be many different type of bond the risk and reward of bond fund can vary dramatically,risk,the risk,0.5
407,Mutual Funds,because there be many different type of bond the risk and reward of bond fund can vary dramatically,risk,risk and,0.5
408,Mutual Funds,over time the mix gradually shift accord to the fund 's strategy,time,time,1.0
409,Mutual Funds,over time the mix gradually shift accord to the fund 's strategy,time,over time,0.5
410,Mutual Funds,over time the mix gradually shift accord to the fund 's strategy,time,time the,0.5
411,Mutual Funds,what be the benefit and risk of mutual fund,risk,risk,1.0
412,Mutual Funds,what be the benefit and risk of mutual fund,risk,and risk,0.5
413,Mutual Funds,what be the benefit and risk of mutual fund,risk,risk of,0.5
414,Mutual Funds,mutual fund offer professional investment management and potential diversification,portfolio diversification,diversification,0.5
415,Mutual Funds,if the market value of a fund 's portfolio increase after deduct expense then the value of the fund and its share increase,portfolio diversification,portfolio,0.5
416,Mutual Funds,all fund carry some level of risk,risk,risk,1.0
417,Mutual Funds,all fund carry some level of risk,risk,of risk,0.5
418,Mutual Funds,a fund 's past performance be not as important as you might think because past performance do not predict future return,expect return,return,0.5
419,Mutual Funds,but past performance can tell you how volatile or stable a fund have be over a period of time,time,time,1.0
420,Mutual Funds,but past performance can tell you how volatile or stable a fund have be over a period of time,time,of time,0.5
421,Mutual Funds,the more volatile the fund the higher the investment risk,risk,risk,1.0
422,Mutual Funds,the more volatile the fund the higher the investment risk,risk,investment risk,0.5
423,Mutual Funds,the price that investor pay for the mutual fund be the fund 's per share net asset value plus any fee charge at the time of purchase such as sale load,time,time,1.0
424,Mutual Funds,the price that investor pay for the mutual fund be the fund 's per share net asset value plus any fee charge at the time of purchase such as sale load,time,the time,0.5
425,Mutual Funds,the price that investor pay for the mutual fund be the fund 's per share net asset value plus any fee charge at the time of purchase such as sale load,time,time of,0.5
426,Mutual Funds,mutual fund share be redeemable mean investor can sell the share back to the fund at any time,time,time,1.0
427,Mutual Funds,mutual fund share be redeemable mean investor can sell the share back to the fund at any time,time,any time,0.5
428,Mutual Funds,the prospectus contain information about the mutual fund 's investment objective risk performance and expense,risk,risk,1.0
429,Mutual Funds,the prospectus contain information about the mutual fund 's investment objective risk performance and expense,risk,objective risk,0.5
430,Mutual Funds,the prospectus contain information about the mutual fund 's investment objective risk performance and expense,risk,risk performance,0.5
431,Mutual Funds,a fund with high cost must perform better than a low cost fund to generate the same return for you,expect return,return,0.5
432,Mutual Funds,even small difference in fee can mean large difference in return over time,expect return,return,0.5
433,Mutual Funds,even small difference in fee can mean large difference in return over time,time,time,1.0
434,Mutual Funds,even small difference in fee can mean large difference in return over time,time,over time,0.5
435,Mutual Funds,"for example if you invest $ 10,000 in a fund with a 10 % annual return and annual operating expense of 1.5 % after 20 year you would have roughly $ 49,725",expect return,return,0.5
436,Mutual Funds,it take only minute to use a mutual fund cost calculator to compute how the cost of different mutual fund add up over time and eat into you return,expect return,return,0.5
437,Mutual Funds,it take only minute to use a mutual fund cost calculator to compute how the cost of different mutual fund add up over time and eat into you return,time,time,1.0
438,Mutual Funds,it take only minute to use a mutual fund cost calculator to compute how the cost of different mutual fund add up over time and eat into you return,time,over time,0.5
439,Mutual Funds,it take only minute to use a mutual fund cost calculator to compute how the cost of different mutual fund add up over time and eat into you return,time,time and,0.5
440,Target Date Funds,over time the mix gradually shift accord to the fund 's investment strategy,time,time,1.0
441,Target Date Funds,over time the mix gradually shift accord to the fund 's investment strategy,time,over time,0.5
442,Target Date Funds,over time the mix gradually shift accord to the fund 's investment strategy,time,time the,0.5
443,Target Date Funds,typically the fund shift over time from a mix with a lot of stock investment in the beginning to a mix weight more toward bond,time,time,1.0
444,Target Date Funds,typically the fund shift over time from a mix with a lot of stock investment in the beginning to a mix weight more toward bond,time,over time,0.5
445,Target Date Funds,typically the fund shift over time from a mix with a lot of stock investment in the beginning to a mix weight more toward bond,time,time from,0.5
446,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",take time to understand how the index be construct,time,time,1.0
447,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",take time to understand how the index be construct,time,take time,0.5
448,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",take time to understand how the index be construct,time,time to,0.5
449,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",non-traditional index fund have unique characteristic and risk,risk,risk,1.0
450,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",non-traditional index fund have unique characteristic and risk,risk,and risk,0.5
451,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",take time to make sure a fund be a good fit for you by consider such thing as correlation to market,time,time,1.0
452,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",take time to make sure a fund be a good fit for you by consider such thing as correlation to market,time,take time,0.5
453,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",take time to make sure a fund be a good fit for you by consider such thing as correlation to market,time,time to,0.5
454,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",depend on they characteristic the other fund may help smooth out volatility and decrease risk,risk,risk,1.0
455,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",depend on they characteristic the other fund may help smooth out volatility and decrease risk,risk,decrease risk,0.5
456,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",return,expect return,return,0.5
457,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",diversification,portfolio diversification,diversification,0.5
458,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",these fund can be use to help create a diversify portfolio,portfolio diversification,portfolio,0.5
459,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",but to ensure a fund add diversity to you portfolio you should understand how the index be construct,portfolio diversification,portfolio,0.5
460,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",or index could give more weight to certain security than you might expect,expect return,expect,0.5
461,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",these product may be difficult to understand because they method for attempt to achieve return may not be straightforward,expect return,return,0.5
462,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",fee and expense reduce the value of you investment return,expect return,return,0.5
463,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",if the holding of two fund have identical performance the fund with the lower cost generally will generate higher return for you,expect return,return,0.5
464,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",for more information see we update investor bulletin how fee and expense affect you investment portfolio,portfolio diversification,portfolio,0.5
465,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",in addition fund disclose they portfolio holding quarterly in form N q and shareholder report,form financing,form,0.5
466,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",in addition fund disclose they portfolio holding quarterly in form N q and shareholder report,portfolio diversification,portfolio,0.5
467,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",what fee and expense can I expect to pay for buy own and sell this fund,expect return,expect,0.5
468,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",what specific risk be associate with this fund,risk,risk,1.0
469,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",what specific risk be associate with this fund,risk,specific risk,0.5
470,"Smart Beta, Quant Funds and other Non-Traditional Index Funds",what specific risk be associate with this fund,risk,risk be,0.5
471,Real Estate Investment Trusts (REITs),instead a REIT busy and develop property primarily to operate they as part of its own investment portfolio,portfolio diversification,portfolio,0.5
472,Real Estate Investment Trusts (REITs),before invest in a REIT you should understand whether or not it be publicly trade and how this could affect the benefit and risk to you,risk,risk,1.0
473,Real Estate Investment Trusts (REITs),before invest in a REIT you should understand whether or not it be publicly trade and how this could affect the benefit and risk to you,risk,and risk,0.5
474,Real Estate Investment Trusts (REITs),before invest in a REIT you should understand whether or not it be publicly trade and how this could affect the benefit and risk to you,risk,risk to,0.5
475,Real Estate Investment Trusts (REITs),what be the benefit and risk of reit,risk,risk,1.0
476,Real Estate Investment Trusts (REITs),what be the benefit and risk of reit,risk,and risk,0.5
477,Real Estate Investment Trusts (REITs),what be the benefit and risk of reit,risk,risk of,0.5
478,Real Estate Investment Trusts (REITs),reit offer a way to include real estate in one 's investment portfolio,portfolio diversification,portfolio,0.5
479,Real Estate Investment Trusts (REITs),but there be some risk especially with non-exchange trade reit,risk,risk,1.0
480,Real Estate Investment Trusts (REITs),but there be some risk especially with non-exchange trade reit,risk,some risk,0.5
481,Real Estate Investment Trusts (REITs),but there be some risk especially with non-exchange trade reit,risk,risk especially,0.5
482,Real Estate Investment Trusts (REITs),because they do not trade on a stock exchange non -trade reit involve special risk,risk,risk,1.0
483,Real Estate Investment Trusts (REITs),because they do not trade on a stock exchange non -trade reit involve special risk,risk,special risk,0.5
484,Real Estate Investment Trusts (REITs),as a result for a significant time period you may be unable to assess the value of you non -trade reit investment and its volatility,time,time,1.0
485,Real Estate Investment Trusts (REITs),as a result for a significant time period you may be unable to assess the value of you non -trade reit investment and its volatility,time,significant time,0.5
486,Real Estate Investment Trusts (REITs),as a result for a significant time period you may be unable to assess the value of you non -trade reit investment and its volatility,time,time period,0.5
487,Structured Notes with Principal Protection,while these product often have reassuring name that include some variant of principal protection capital guarantee absolute return minimum return or similar term they be not risk free,expect return,return,0.5
488,Structured Notes with Principal Protection,while these product often have reassuring name that include some variant of principal protection capital guarantee absolute return minimum return or similar term they be not risk free,expect return,return,0.5
489,Structured Notes with Principal Protection,while these product often have reassuring name that include some variant of principal protection capital guarantee absolute return minimum return or similar term they be not risk free,risk,risk,1.0
490,Structured Notes with Principal Protection,while these product often have reassuring name that include some variant of principal protection capital guarantee absolute return minimum return or similar term they be not risk free,risk,not risk,0.5
491,Structured Notes with Principal Protection,while these product often have reassuring name that include some variant of principal protection capital guarantee absolute return minimum return or similar term they be not risk free,risk,risk free,0.5
492,Structured Notes with Principal Protection,how do structured Notes with principal Protection calculate the return on my investment,expect return,return,0.5
493,Hedge Funds,hedge fund pool money from investor and invest in security or other type of investment with the goal of get positive return,expect return,return,0.5
494,Hedge Funds,hedge fund be not regulate as heavily as mutual fund and generally have more leeway than mutual fund to pursue investment and strategy that may increase the risk of investment loss,risk,risk,1.0
